,DOWNSTREAM
1017,0.0403125
1018,0.0396875
1019,0.0403125
1020,0.0396875
1021,0.0403125
1022,0.0396875
1023,0.0403125
1024,0.0396875
1025,0.0403125
1026,0.0396875
1027,0.0403125
1028,0.0396875
1029,0.0403125
1030,0.0396875
1031,0.040625
1032,0.039375
1033,0.040625
1034,0.039375
1035,0.040625
1036,0.039375
1037,0.040625
1038,0.039375
1039,0.040625
1040,0.039375
1041,0.040625
1042,0.039375
1043,0.040625
1044,0.039375
1045,0.0409375
1046,0.0390625
1047,0.0409375
1048,0.0390625
1049,0.04125
1050,0.03875
1051,0.0415625
1052,0.038125
1053,0.0425
1054,0.0365625
1055,0.045
1056,0.030625
1057,0.0728125
1058,0.1321875
1059,0.1128125
1060,0.1253125
1061,0.115625
1062,0.1240625
1063,0.1159375
1064,0.1240625
1065,0.1153125
1066,0.1253125
1067,0.1128125
1068,0.13125
1069,0.085
1070,0.03
1071,0.0446875
1072,0.0375
1073,0.04125
1074,0.0396875
1075,0.0390625
1076,0.0428125
1077,0.0328125
1078,0.070625
1079,0.1346875
1080,0.11
1081,0.1290625
1082,0.1103125
1083,0.1334375
1084,0.0834375
1085,0.03125
1086,0.04375
1087,0.0378125
1088,0.04125
1089,0.0390625
1090,0.040625
1091,0.0396875
1092,0.0403125
1093,0.04
1094,0.04
1095,0.04
1096,0.04
1097,0.0403125
1098,0.0396875
1099,0.0403125
1100,0.0396875
1101,0.0403125
1102,0.0396875
1103,0.0403125
1104,0.0396875
1105,0.0403125
1106,0.0396875
1107,0.0403125
1108,0.0396875
1109,0.0403125
1110,0.0396875
1111,0.0403125
1112,0.0396875
1113,0.0403125
1114,0.0396875
1115,0.0403125
1116,0.0396875
1117,0.0403125
1118,0.0396875
1119,0.0403125
1120,0.0396875
1121,0.0403125
1122,0.0396875
1123,0.0403125
1124,0.0396875
1125,0.0403125
1126,0.0396875
1127,0.0403125
1128,0.0396875
1129,0.0403125
1130,0.0396875
1131,0.0403125
1132,0.0396875
1133,0.0403125
1134,0.0396875
1135,0.0403125
1136,0.0396875
1137,0.0403125
1138,0.0396875
1139,0.0403125
1140,0.0396875
1141,0.0403125
1142,0.0396875
1143,0.0403125
1144,0.0396875
1145,0.0403125
1146,0.0396875
1147,0.0403125
1148,0.0396875
1149,0.0403125
1150,0.0396875
1151,0.0403125
1152,0.0396875
1153,0.0403125
1154,0.0396875
1155,0.0403125
1156,0.0396875
1157,0.0403125
1158,0.0396875
1159,0.0403125
1160,0.0396875
1161,0.0403125
1162,0.0396875
1163,0.0403125
1164,0.0396875
1165,0.0403125
1166,0.0396875
1167,0.0403125
1168,0.0396875
1169,0.0403125
1170,0.0396875
1171,0.0403125
1172,0.0396875
1173,0.0403125
1174,0.0396875
1175,0.0403125
1176,0.0396875
1177,0.0403125
1178,0.0396875
1179,0.0403125
1180,0.0396875
1181,0.0403125
1182,0.0396875
1183,0.0403125
1184,0.0396875
1185,0.0403125
1186,0.0396875
1187,0.0403125
1188,0.0396875
1189,0.0403125
1190,0.0396875
1191,0.0403125
1192,0.0396875
1193,0.0403125
1194,0.0396875
1195,0.0403125
1196,0.0396875
1197,0.0403125
1198,0.0396875
1199,0.0403125
1200,0.0396875
1201,0.0403125
1202,0.0396875
1203,0.0403125
1204,0.0396875
1205,0.0403125
1206,0.0396875
1207,0.0403125
1208,0.0396875
1209,0.0403125
1210,0.0396875
1211,0.0403125
1212,0.0396875
1213,0.0403125
1214,0.0396875
1215,0.0403125
1216,0.0396875
1217,0.0403125
1218,0.0396875
1219,0.0403125
1220,0.0396875
1221,0.0403125
1222,0.0396875
1223,0.0403125
1224,0.0396875
1225,0.0403125
1226,0.04
1227,0.04
1228,0.04
1229,0.04
1230,0.04
1231,0.04
1232,0.0403125
1233,0.0396875
1234,0.040625
1235,0.0390625
1236,0.04125
1237,0.0378125
1238,0.04375
1239,0.0321875
1240,0.07125
1241,0.1340625
1242,0.1103125
1243,0.1284375
1244,0.110625
1245,0.133125
1246,0.08375
1247,0.0309375
1248,0.0440625
1249,0.0378125
1250,0.0415625
1251,0.0390625
1252,0.040625
1253,0.039375
1254,0.0403125
1255,0.0396875
1256,0.0403125
1257,0.0396875
1258,0.0403125
1259,0.0396875
1260,0.0403125
1261,0.039375
1262,0.0409375
1263,0.03875
1264,0.0421875
1265,0.03625
1266,0.0478125
1267,0.0090625
1268,-0.054375
1269,-0.0303125
1270,-0.04875
1271,-0.0303125
1272,-0.0534375
1273,-0.0034375
1274,0.04875
1275,0.03625
1276,0.041875
1277,0.0390625
1278,0.0403125
1279,0.04
1280,0.0396875
1281,0.0403125
1282,0.039375
1283,0.040625
1284,0.039375
1285,0.0409375
1286,0.0390625
1287,0.0409375
1288,0.03875
1289,0.04125
1290,0.03875
1291,0.0415625
1292,0.0384375
1293,0.041875
1294,0.038125
1295,0.0421875
1296,0.0378125
1297,0.0425
1298,0.036875
1299,0.04375
1300,0.0353125
1301,0.0465625
1302,0.0290625
1303,0.074375
1304,0.1303125
1305,0.1146875
1306,0.123125
1307,0.1178125
1308,0.1215625
1309,0.1190625
1310,0.120625
1311,0.1196875
1312,0.12
1313,0.1203125
1314,0.119375
1315,0.1209375
1316,0.11875
1317,0.121875
1318,0.1175
1319,0.1234375
1320,0.1146875
1321,0.1296875
1322,0.086875
1323,0.0284375
1324,0.0465625
1325,0.035625
1326,0.0434375
1327,0.0371875
1328,0.0421875
1329,0.038125
1330,0.0415625
1331,0.0384375
1332,0.04125
1333,0.03875
1334,0.0409375
1335,0.0390625
1336,0.0409375
1337,0.0390625
1338,0.040625
1339,0.039375
1340,0.040625
1341,0.039375
1342,0.040625
1343,0.0396875
1344,0.0403125
1345,0.0396875
1346,0.0403125
1347,0.0396875
1348,0.0403125
1349,0.04
1350,0.04
1351,0.04
1352,0.04
1353,0.04
1354,0.0396875
1355,0.0403125
1356,0.0396875
1357,0.040625
1358,0.039375
1359,0.0409375
1360,0.0390625
1361,0.04125
1362,0.0384375
1363,0.0421875
1364,0.036875
1365,0.045
1366,0.030625
1367,0.0728125
1368,0.1321875
1369,0.113125
1370,0.125
1371,0.1159375
1372,0.1234375
1373,0.116875
1374,0.123125
1375,0.1171875
1376,0.1228125
1377,0.1171875
1378,0.1228125
1379,0.116875
1380,0.1234375
1381,0.1159375
1382,0.1246875
1383,0.1134375
1384,0.1309375
1385,0.085625
1386,0.029375
1387,0.045625
1388,0.03625
1389,0.0425
1390,0.0378125
1391,0.0415625
1392,0.03875
1393,0.04125
1394,0.0390625
1395,0.0409375
1396,0.0390625
1397,0.0409375
1398,0.039375
1399,0.040625
1400,0.039375
1401,0.040625
1402,0.039375
1403,0.040625
1404,0.039375
1405,0.040625
1406,0.039375
1407,0.040625
1408,0.039375
1409,0.040625
1410,0.039375
1411,0.040625
1412,0.039375
1413,0.040625
1414,0.039375
1415,0.040625
1416,0.039375
1417,0.040625
1418,0.039375
1419,0.040625
1420,0.039375
1421,0.040625
1422,0.039375
1423,0.040625
1424,0.039375
1425,0.040625
1426,0.0390625
1427,0.0409375
1428,0.0390625
1429,0.0409375
1430,0.0390625
1431,0.0409375
1432,0.0390625
1433,0.0409375
1434,0.0390625
1435,0.04125
1436,0.03875
1437,0.04125
1438,0.03875
1439,0.04125
1440,0.0384375
1441,0.0415625
1442,0.0384375
1443,0.041875
1444,0.038125
1445,0.0421875
1446,0.0378125
1447,0.0425
1448,0.0375
1449,0.0428125
1450,0.0365625
1451,0.04375
1452,0.035625
1453,0.0453125
1454,0.0334375
1455,0.04875
1456,0.02625
1457,0.078125
1458,0.1246875
1459,0.125
1460,0.0896875
1461,0.0265625
1462,0.0475
1463,0.0353125
1464,0.043125
1465,0.038125
1466,0.040625
1467,0.040625
1468,0.0371875
1469,0.0475
1470,0.00875
1471,-0.0534375
1472,-0.031875
1473,-0.0459375
1474,-0.0353125
1475,-0.0440625
1476,-0.0365625
1477,-0.0428125
1478,-0.0375
1479,-0.041875
1480,-0.0384375
1481,-0.0409375
1482,-0.0403125
1483,-0.038125
1484,-0.04625
1485,-0.0103125
1486,0.0553125
1487,0.0296875
1488,0.0484375
1489,0.0321875
1490,0.0478125
1491,0.031875
1492,0.0496875
1493,0.02625
1494,0.0771875
1495,0.1278125
1496,0.1171875
1497,0.1209375
1498,0.12
1499,0.119375
1500,0.1209375
1501,0.11875
1502,0.1215625
1503,0.118125
1504,0.121875
1505,0.1178125
1506,0.1221875
1507,0.1175
1508,0.1228125
1509,0.116875
1510,0.1234375
1511,0.1159375
1512,0.125
1513,0.113125
1514,0.13125
1515,0.085
1516,0.03
1517,0.0446875
1518,0.0371875
1519,0.0415625
1520,0.0390625
1521,0.0403125
1522,0.04
1523,0.0396875
1524,0.040625
1525,0.0390625
1526,0.04125
1527,0.0384375
1528,0.041875
1529,0.0375
1530,0.043125
1531,0.0359375
1532,0.0459375
1533,0.029375
1534,0.074375
1535,0.130625
1536,0.115
1537,0.1228125
1538,0.1184375
1539,0.1203125
1540,0.12125
1541,0.116875
1542,0.1278125
1543,0.0884375
1544,0.0265625
1545,0.048125
1546,0.0340625
1547,0.045
1548,0.035625
1549,0.04375
1550,0.03625
1551,0.0434375
1552,0.036875
1553,0.043125
1554,0.036875
1555,0.043125
1556,0.036875
1557,0.043125
1558,0.036875
1559,0.0434375
1560,0.0365625
1561,0.04375
1562,0.0359375
1563,0.0446875
1564,0.034375
1565,0.0475
1566,0.028125
1567,0.0753125
1568,0.129375
1569,0.1159375
1570,0.121875
1571,0.1190625
1572,0.12
1573,0.1209375
1574,0.1184375
1575,0.1228125
1576,0.1153125
1577,0.129375
1578,0.0871875
1579,0.028125
1580,0.046875
1581,0.0353125
1582,0.04375
1583,0.036875
1584,0.0428125
1585,0.0375
1586,0.0421875
1587,0.038125
1588,0.041875
1589,0.038125
1590,0.041875
1591,0.038125
1592,0.041875
1593,0.038125
1594,0.0421875
1595,0.0375
1596,0.043125
1597,0.0353125
1598,0.0484375
1599,0.0084375
1600,-0.054375
1601,-0.0290625
1602,-0.0534375
1603,-0.0040625
1604,0.0496875
1605,0.0353125
1606,0.043125
1607,0.0375
1608,0.041875
1609,0.0384375
1610,0.0415625
1611,0.0384375
1612,0.0415625
1613,0.0384375
1614,0.0415625
1615,0.0384375
1616,0.041875
1617,0.0378125
1618,0.0425
1619,0.0365625
1620,0.045
1621,0.030625
1622,0.0725
1623,0.1325
1624,0.1121875
1625,0.12625
1626,0.114375
1627,0.1259375
1628,0.1125
1629,0.1315625
1630,0.085
1631,0.0296875
1632,0.0453125
1633,0.0365625
1634,0.0425
1635,0.038125
1636,0.0415625
1637,0.03875
1638,0.0409375
1639,0.0390625
1640,0.0409375
1641,0.039375
1642,0.040625
1643,0.039375
1644,0.040625
1645,0.039375
1646,0.040625
1647,0.0396875
1648,0.0403125
1649,0.0396875
1650,0.0403125
1651,0.0396875
1652,0.0403125
1653,0.0396875
1654,0.0403125
1655,0.0396875
1656,0.0403125
1657,0.0396875
1658,0.0403125
1659,0.0396875
1660,0.0403125
1661,0.0396875
1662,0.0403125
1663,0.0396875
1664,0.0403125
1665,0.0396875
1666,0.0403125
1667,0.0396875
1668,0.0403125
1669,0.0396875
1670,0.04
1671,0.04
1672,0.04
1673,0.04
1674,0.04
1675,0.04
1676,0.04
1677,0.04
1678,0.04
1679,0.04
1680,0.04
1681,0.04
1682,0.04
1683,0.04
1684,0.0396875
1685,0.0403125
1686,0.0396875
1687,0.0403125
1688,0.039375
1689,0.040625
1690,0.0390625
1691,0.0409375
1692,0.03875
1693,0.041875
1694,0.0371875
1695,0.044375
1696,0.03125
1697,0.0721875
1698,0.1328125
1699,0.1121875
1700,0.1259375
1701,0.1146875
1702,0.125
1703,0.1146875
1704,0.1259375
1705,0.1125
1706,0.1315625
1707,0.085
1708,0.03
1709,0.045
1710,0.036875
1711,0.0421875
1712,0.0384375
1713,0.04125
1714,0.0390625
1715,0.040625
1716,0.039375
1717,0.0403125
1718,0.0396875
1719,0.0403125
1720,0.0396875
1721,0.0403125
1722,0.04
1723,0.04
1724,0.04
1725,0.04
1726,0.04
1727,0.04
1728,0.04
1729,0.04
1730,0.04
1731,0.04
1732,0.04
1733,0.04
1734,0.04
1735,0.04
1736,0.04
1737,0.04
1738,0.0403125
1739,0.0396875
1740,0.0403125
1741,0.0396875
1742,0.0403125
1743,0.0396875
1744,0.0403125
1745,0.0396875
1746,0.0403125
1747,0.0396875
1748,0.0403125
1749,0.0396875
1750,0.0403125
1751,0.039375
1752,0.040625
1753,0.039375
1754,0.0409375
1755,0.0390625
1756,0.04125
1757,0.0384375
1758,0.0421875
1759,0.0371875
1760,0.0446875
1761,0.03125
