Time,Ampl
1.24302e-08,-0.00024
1.28302e-08,-6e-05
1.32302e-08,-0.00012
1.36302e-08,-0.00024
1.40302e-08,6e-05
1.44302e-08,-6e-05
1.48302e-08,-0.00014
1.52302e-08,-8e-05
1.56302e-08,-0.00044
1.60302e-08,-0.00018
1.64302e-08,-0.0001
1.68302e-08,-0.00032
1.72302e-08,0.00012
1.76302e-08,-0.0003
1.80302e-08,-0.00022
1.84302e-08,8e-05
1.88302e-08,-0.0001
1.92302e-08,2e-05
1.96302e-08,-0.0001
2.00302e-08,-0.00054
2.04302e-08,-0.00032
2.08302e-08,-6e-05
2.12302e-08,-0.00058
2.16302e-08,0.00012
2.20302e-08,-0.00014
2.24302e-08,-0.00028
2.28302e-08,0.00014
2.32302e-08,-0.0003
2.36302e-08,-4e-05
2.40302e-08,-0.00024
2.44302e-08,-0.00014
2.48302e-08,0.00028
2.52302e-08,-2e-05
2.56302e-08,-0.00018
2.60302e-08,0
2.64302e-08,-0.0003
2.68302e-08,-0.00042
2.72302e-08,-0.00024
2.76302e-08,0.00018
2.80302e-08,-0.00038
2.84302e-08,0
2.88302e-08,-0.00012
2.92302e-08,-0.00022
2.96302e-08,0
3.00302e-08,0.0002
3.04302e-08,-0.00026
3.08302e-08,-0.0002
3.12302e-08,-0.0003
3.16302e-08,0
3.20302e-08,-0.00028
3.24302e-08,-0.00012
3.28302e-08,-0.00032
3.32302e-08,-8e-05
3.36302e-08,-0.00014
3.40302e-08,0
3.44302e-08,-0.00024
3.48302e-08,6e-05
3.52302e-08,-0.00016
3.56302e-08,-0.00028
3.60302e-08,0.00036
3.64302e-08,-0.00012
3.68302e-08,-6e-05
3.72302e-08,8e-05
3.76302e-08,-0.00012
3.80302e-08,-0.0002
3.84302e-08,-4e-05
3.88302e-08,-0.00026
3.92302e-08,-0.00028
3.96302e-08,-0.0002
4.00302e-08,-0.00016
4.04302e-08,-2e-05
4.08302e-08,0
4.12302e-08,-0.00028
4.16302e-08,-0.0002
4.20302e-08,-6e-05
4.24302e-08,-8e-05
4.28302e-08,-0.0002
4.32302e-08,-0.00036
4.36302e-08,-6e-05
4.40302e-08,-0.0002
4.44302e-08,-0.00036
4.48302e-08,-0.00012
4.52302e-08,-6e-05
4.56302e-08,-0.00016
4.60302e-08,0.00012
4.64302e-08,-0.00028
4.68302e-08,-0.00024
4.72302e-08,0
4.76302e-08,-0.0001
4.80302e-08,-0.00026
4.84302e-08,0.00022
4.88302e-08,-8e-05
4.92302e-08,-0.00036
