TIMESTAMPS,TIMES,FILES
1748959444,2025-06-03 16:04:04,scope2__ALL_20250603160403153.csv
1748959468,2025-06-03 16:04:28,scope2__ALL_20250603160427161.csv
1748959492,2025-06-03 16:04:52,scope2__ALL_20250603160451154.csv
1748959516,2025-06-03 16:05:16,scope2__ALL_20250603160515179.csv
1748959540,2025-06-03 16:05:40,scope2__ALL_20250603160539153.csv
1748959564,2025-06-03 16:06:04,scope2__ALL_20250603160603155.csv
1748959708,2025-06-03 16:08:28,scope2__ALL_20250603160827165.csv
1748959732,2025-06-03 16:08:52,scope2__ALL_20250603160851154.csv
1748959756,2025-06-03 16:09:16,scope2__ALL_20250603160915163.csv
1748959780,2025-06-03 16:09:40,scope2__ALL_20250603160939154.csv
1748959804,2025-06-03 16:10:04,scope2__ALL_20250603161003155.csv
1748959828,2025-06-03 16:10:28,scope2__ALL_20250603161027163.csv
1748959852,2025-06-03 16:10:52,scope2__ALL_20250603161051154.csv
1748959876,2025-06-03 16:11:16,scope2__ALL_20250603161115181.csv
1748959900,2025-06-03 16:11:40,scope2__ALL_20250603161139156.csv
1748959924,2025-06-03 16:12:04,scope2__ALL_20250603161203154.csv
1748959948,2025-06-03 16:12:28,scope2__ALL_20250603161227162.csv
1748959972,2025-06-03 16:12:52,scope2__ALL_20250603161251154.csv
1748959996,2025-06-03 16:13:16,scope2__ALL_20250603161315209.csv
1748960020,2025-06-03 16:13:40,scope2__ALL_20250603161339154.csv
1748960044,2025-06-03 16:14:04,scope2__ALL_20250603161403155.csv
1748960068,2025-06-03 16:14:28,scope2__ALL_20250603161427162.csv
1748960092,2025-06-03 16:14:52,scope2__ALL_20250603161451157.csv
1748960116,2025-06-03 16:15:16,scope2__ALL_20250603161515165.csv
1748960140,2025-06-03 16:15:40,scope2__ALL_20250603161539155.csv
1748960164,2025-06-03 16:16:04,scope2__ALL_20250603161603153.csv
1748960188,2025-06-03 16:16:28,scope2__ALL_20250603161627162.csv
1748960212,2025-06-03 16:16:52,scope2__ALL_20250603161651154.csv
1748960236,2025-06-03 16:17:16,scope2__ALL_20250603161715163.csv
1748960260,2025-06-03 16:17:40,scope2__ALL_20250603161739154.csv
1748960284,2025-06-03 16:18:04,scope2__ALL_20250603161803155.csv
1748960308,2025-06-03 16:18:28,scope2__ALL_20250603161827161.csv
1748960332,2025-06-03 16:18:52,scope2__ALL_20250603161851155.csv
1748960356,2025-06-03 16:19:16,scope2__ALL_20250603161915220.csv
1748961964,2025-06-03 16:46:04,scope2__ALL_20250603164603274.csv
1748962084,2025-06-03 16:48:04,scope2__ALL_20250603164803166.csv
1748962252,2025-06-03 16:50:52,scope2__ALL_20250603165051167.csv
1748962612,2025-06-03 16:56:52,scope2__ALL_20250603165651166.csv
1748963092,2025-06-03 17:04:52,scope2__ALL_20250603170451164.csv
1748963500,2025-06-03 17:11:40,scope2__ALL_20250603171139168.csv
1748963644,2025-06-03 17:14:04,scope2__ALL_20250603171403166.csv
1748982100,2025-06-03 22:21:40,scope2__ALL_20250603222139544.csv
1748982340,2025-06-03 22:25:40,scope2__ALL_20250603222539166.csv
